,class,kindom,phylum,class,order,family,genus,species
k_Bacteria|f_Candidatus_Chazhemtobacteraceae|g_Candidatus_Chazhemtobacterium|s_Candidatus_Chazhemtobacterium_aquaticus,species,k_Bacteria,f_Candidatus_Chazhemtobacteraceae,g_Candidatus_Chazhemtobacterium,s_Candidatus_Chazhemtobacterium_aquaticus,,,
k_Bacteria|p_Candidatus_Saccharibacteria,phylum,k_Bacteria,p_Candidatus_Saccharibacteria,,,,,
k_Bacteria|p_Candidatus_Saccharibacteria|g_Candidatus_Saccharimonas,genus,k_Bacteria,p_Candidatus_Saccharibacteria,g_Candidatus_Saccharimonas,,,,
k_Bacteria|p_Candidatus_Saccharibacteria|g_Candidatus_Saccharimonas|s_Candidatus_Saccharimonas_aalborgensis,species,k_Bacteria,p_Candidatus_Saccharibacteria,g_Candidatus_Saccharimonas,s_Candidatus_Saccharimonas_aalborgensis,,,
k_Bacteria|p_Candidatus_Saccharibacteria|c_Candidatus_Saccharimonia,class,k_Bacteria,p_Candidatus_Saccharibacteria,c_Candidatus_Saccharimonia,,,,
k_Bacteria|p_Candidatus_Saccharibacteria|c_Candidatus_Saccharimonia|o_Candidatus_Nanosynbacterales,order,k_Bacteria,p_Candidatus_Saccharibacteria,c_Candidatus_Saccharimonia,o_Candidatus_Nanosynbacterales,,,
k_Bacteria|p_Candidatus_Saccharibacteria|c_Candidatus_Saccharimonia|o_Candidatus_Nanosynbacterales|f_Candidatus_Nanosynbacteraceae,family,k_Bacteria,p_Candidatus_Saccharibacteria,c_Candidatus_Saccharimonia,o_Candidatus_Nanosynbacterales,f_Candidatus_Nanosynbacteraceae,,
k_Bacteria|p_Candidatus_Saccharibacteria|c_Candidatus_Saccharimonia|o_Candidatus_Nanosynbacterales|f_Candidatus_Nanosynbacteraceae|g_Candidatus_Nanosynbacter,genus,k_Bacteria,p_Candidatus_Saccharibacteria,c_Candidatus_Saccharimonia,o_Candidatus_Nanosynbacterales,f_Candidatus_Nanosynbacteraceae,g_Candidatus_Nanosynbacter,
k_Bacteria|p_Candidatus_Saccharibacteria|c_Candidatus_Saccharimonia|o_Candidatus_Nanosynbacterales|f_Candidatus_Nanosynbacteraceae|g_Candidatus_Nanosynbacter|s_Candidatus_Nanosynbacter_lyticus,species,k_Bacteria,p_Candidatus_Saccharibacteria,c_Candidatus_Saccharimonia,o_Candidatus_Nanosynbacterales,f_Candidatus_Nanosynbacteraceae,g_Candidatus_Nanosynbacter,s_Candidatus_Nanosynbacter_lyticus
k_Bacteria|p_Aquificae,phylum,k_Bacteria,p_Aquificae,,,,,
k_Bacteria|p_Aquificae|c_Aquificae,class,k_Bacteria,p_Aquificae,c_Aquificae,,,,
k_Bacteria|p_Aquificae|c_Aquificae|o_Desulfurobacteriales,order,k_Bacteria,p_Aquificae,c_Aquificae,o_Desulfurobacteriales,,,
k_Bacteria|p_Aquificae|c_Aquificae|o_Desulfurobacteriales|f_Desulfurobacteriaceae,family,k_Bacteria,p_Aquificae,c_Aquificae,o_Desulfurobacteriales,f_Desulfurobacteriaceae,,
k_Bacteria|p_Aquificae|c_Aquificae|o_Desulfurobacteriales|f_Desulfurobacteriaceae|g_Desulfurobacterium,genus,k_Bacteria,p_Aquificae,c_Aquificae,o_Desulfurobacteriales,f_Desulfurobacteriaceae,g_Desulfurobacterium,
k_Bacteria|p_Aquificae|c_Aquificae|o_Desulfurobacteriales|f_Desulfurobacteriaceae|g_Desulfurobacterium|s_Desulfurobacterium_thermolithotrophum,species,k_Bacteria,p_Aquificae,c_Aquificae,o_Desulfurobacteriales,f_Desulfurobacteriaceae,g_Desulfurobacterium,s_Desulfurobacterium_thermolithotrophum
k_Bacteria|p_Aquificae|c_Aquificae|o_Desulfurobacteriales|f_Desulfurobacteriaceae|g_Thermovibrio,genus,k_Bacteria,p_Aquificae,c_Aquificae,o_Desulfurobacteriales,f_Desulfurobacteriaceae,g_Thermovibrio,
k_Bacteria|p_Aquificae|c_Aquificae|o_Desulfurobacteriales|f_Desulfurobacteriaceae|g_Thermovibrio|s_Thermovibrio_ammonificans,species,k_Bacteria,p_Aquificae,c_Aquificae,o_Desulfurobacteriales,f_Desulfurobacteriaceae,g_Thermovibrio,s_Thermovibrio_ammonificans
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales,order,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,,,
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|g_Thermosulfidibacter,genus,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,g_Thermosulfidibacter,,
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|g_Thermosulfidibacter|s_Thermosulfidibacter_takaii,species,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,g_Thermosulfidibacter,s_Thermosulfidibacter_takaii,
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae,family,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,,
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Hydrogenobaculum,genus,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,g_Hydrogenobaculum,
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Hydrogenobaculum|s_Hydrogenobaculum_sp._HO,species,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,g_Hydrogenobaculum,s_Hydrogenobaculum_sp._HO
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Hydrogenobaculum|s_Hydrogenobaculum_sp._Y04AAS1,species,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,g_Hydrogenobaculum,s_Hydrogenobaculum_sp._Y04AAS1
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Thermocrinis,genus,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,g_Thermocrinis,
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Thermocrinis|s_Thermocrinis_minervae,species,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,g_Thermocrinis,s_Thermocrinis_minervae
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Thermocrinis|s_Thermocrinis_albus,species,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,g_Thermocrinis,s_Thermocrinis_albus
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Thermocrinis|s_Thermocrinis_ruber,species,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,g_Thermocrinis,s_Thermocrinis_ruber
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Hydrogenobacter,genus,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,g_Hydrogenobacter,
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Hydrogenobacter|s_Hydrogenobacter_thermophilus,species,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,g_Hydrogenobacter,s_Hydrogenobacter_thermophilus
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Hydrogenobacter|s_Hydrogenobacter_sp._T-8,species,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,g_Hydrogenobacter,s_Hydrogenobacter_sp._T-8
k_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Aquifex,genus,k_Bacteria,p_Aquificae,c_Aquificae,o_Aquificales,f_Aquificaceae,g_Aquifex,
